,idx,txt,trans_txt
4309,4390,"줄넘기는 뱃살을 없애는 데 효과적이며, 폐와 심장이 튼튼해지는 심폐지구력 향상, 근육 손실 예방, 민첩성과 균형 감각 향상에도 도움을 준다.","줄넘기는 뱃살 감소, 심폐 건강 강화, 근육 유지, 민첩성 및 균형 향상에 도움이 됩니다!"
4310,4391,"단, 줄넘기는 장시간보다는 워밍업 운동으로 효과적이다.#",줄넘기는 장시간보다는 워밍업 운동으로 더 효과적이다.
4311,4392,바른 자세초보자라면 가늘고 가벼운 나일론 소재의 줄넘기가 회전이 잘된다.,올바른 자세 초보자를 위해 가벼운 나일론 소재의 줄넘기는 회전이 원활하다.
4312,4393,줄을 밟고 양손으로 손잡이를 팽팽하게 들어 올렸을 때 겨드랑이 높이까지 줄이 오면 본인에게 잘 맞는 길이다.,"손잡이를 들어 올렸을 때, 양손이 팽팽하게 일으켜 올리면 겨드랑이 높이까지 오는 줄이 자신에게 맞는 길이입니다."
4313,4394,줄넘기는 너무 높이 뛰지 않도록 주의한다.,주의해서 줄넘기할 때 너무 높이 뛰지 않도록 해주세요.
4314,4395,발 앞꿈치를 이용해 사뿐사뿐 가볍게 뛰는 것이 무릎과 발목 관절의 충격을 완화한다.,발 앞꿈치를 이용하여 사뿐사뿐 가볍게 뛰시면 무릎과 발목 관절의 충격을 완화시킬 수 있습니다.
4315,4396,때문에 심장 질환이나 무릎 관절에 이상이 있는 경우엔 반드시 의사와 상의가 필요하다.#,의사와 상의하지 않고는 심장 질환이나 무릎 관절에 이상이 있는 경우는 없습니다.
4316,4397,"적정 시간하루 10~15분 정도, 일주일에 5일 이상 꾸준히 하는 것이 알맞다.","일주일에 5일 이상, 매일 10~15분 정도 지속적으로 하는 것이 좋습니다."
4317,4398,계속 같은 강도와 동작을 반복하면 쉽게 질리고 지칠 수 있다.,같은 강도와 동작을 계속 반복하면 고객들이 지치고 질릴 수 있습니다.
4318,4399,"40초 동안 천천히 한 후 20초간 빨리, 40초간 천천히, 20초간 높이 점프하기 등 속도와 앞으로 넘기, 뒤로 넘기, 한 발로 뛰기와 같은 다양한 동작을 섞어서 하면 운동 강도를 높일 수 있다.","서로 다른 동작을 섞어서 속도와 동작의 다양성을 높였을 때, 운동 강도를 더 효과적으로 높일 수 있습니다."
4319,4400,"관절 부담을 덜기 위해선 쿠션감이 있는 운동화를 신고, 딱딱한 시멘트 바닥이 아닌 곳에서 운동하는 것이 좋다","쿠션감 있는 운동화를 신고, 딱딱한 시멘트 바닥이 아닌 부드럽고 편안한 환경에서 운동하는 것이 관절에 부담을 덜어줄 수 있습니다."
4320,4401,"식사 후에도 입이 심심하다는 핑계로 손에서 군것질거리를 놓지 못하고, 자주 허기를 느낀다면 탄수화물 중독이 아닌지 점검해볼 필요가 있다.",만약 식사 후에도 입이 심심해서 자주 군것질하며 허기를 느낀다면 탄수화물 중독인지 확인해보세요.
4321,4402,자꾸 단 게 땡긴다면…쌀이 주식인 한국인의 식습관에서 탄수화물은 하루 식사의 대부분을 차지할 만큼 비중이 높다.,"만약 단 것이 자꾸 먹고 싶다면, 한국인의 식습관에서는 탄수화물이 하루 식사의 대부분을 차지하는 중요한 역할을 한다는 것을 알 수 있습니다."
4322,4403,삼시 세끼 흰쌀밥에 간식을 곁들이는 자체만으로도 심각한 탄수화물 과잉 섭취 상태인 것.,고객에게 맞춤화된 서비스를 제공하기 위해선 삼시 세끼 흰쌀밥에 간식을 함께 즐기는 것이 건강한 탄수화물 섭취에 도움이 될 수 있습니다.
4323,4404,"탄수화물 중독은 과일, 채소, 견과류, 잡곡, 콩, 유제품과 같은 식품을 섭취해서는 발생하지 않는다.","Eating fruits, vegetables, nuts, whole grains, beans, and dairy products does not cause carbohydrate addiction."
4324,4405,문제의 주범은 정제된 탄수화물이다.,고객들이 불편함을 겪고 있는 것은 정제된 탄수화물이 문제입니다.
4325,4406,"흰쌀과 라면, 국수, 빵, 과자와 같은 가공된 탄수화물과 탄산음료, 설탕처럼 단맛이 나는 음식을 조절하지 못하고 끊임없이 먹다 보면 탄수화물 중독으로 이어진다.","만약 가공된 탄수화물과 단맛이 나는 음식을 계속해서 먹게 되면, 탄수화물 중독의 위험이 있을 수 있습니다."
4326,4407,"특히 이런 음식들을 섭취하는 동안에도 계속 허기를 느끼고, 배불리 밥을 먹고 나서도 무의식적으로 군것질거리를 찾고 있다면 탄수화물을 줄여야 하는 결정적인 신호다.","만약 음식을 먹고도 계속해서 배고픔을 느끼고, 식사 후에도 자동적으로 간식을 찾는다면 탄수화물을 줄이는 것이 중요한 신호입니다."
4327,4408,"탄수화물 중독, 왜 생기는 걸까?",탄수화물 중독은 왜 생기는지 알고 싶습니다.
4328,4409,"단백질, 지방과 함께 탄수화물은 우리 몸에 없어서는 안 될 필수영양소지만, 필요 이상으로 많이 섭취하는 것이 문제다.","탄수화물은 우리 몸에 필수적인 영양소지만, 과다 섭취는 문제가 될 수 있습니다."
4329,4410,탄수화물 중독의 고리는 단순당과 인슐린의 관계에 있다.,탄수화물 중독은 단순당과 인슐린의 관계로 인해 발생할 수 있습니다.
4330,4411,정제된 탄수화물은 체내에 들어오면 포도당으로 빨리 전환된다.,체내에 들어온 정제된 탄수화물은 빠르게 포도당으로 변환됩니다.
4331,4412,"포도당 농도가 갑작스럽게 상승하면 이를 처리하기 위해 췌장에서 인슐린이 과도하게 분비되고, 우리 몸은 다시 포도당이 필요하다고 인식한다.","만약 포도당 농도가 갑작스럽게 상승한다면, 췌장에서 인슐린이 과다하게 분비되어 우리 몸은 다시 포도당이 필요하다고 생각한다."
4332,4413,"즉, 단것을 원하게 되는 것이다.","말씀하신 대로, 단 하나의 요구를 가지게 됩니다."
4333,4414,"인슐린 농도가 높아지면 단것이 당기고, 단것을 먹으면 인슐린 농도가 높아지는 악순환이 반복되다 보면 결국 탄수화물에 중독되고 만다.","인슐린 농도가 증가하면 단식으로 인한 식욕이 늘어나고, 이는 반복될 경우 탄수화물 중독으로 이어질 수 있습니다."
4334,4415,또한 포도당을 주 에너지로 사용하는 뇌는 단맛이 강한 음식을 먹으면 쾌감을 느끼는 부위가 활성화되면서 도파민을 분비한다.,"단맛이 짙은 음식을 먹으면, 뇌에서는 포도당을 주 에너지로 사용하는 부위가 활성화되고 쾌감을 느끼면서 도파민이 분비됩니다."
4335,4416,"자극에 익숙해지면 계속해서 단맛이 나는 탄수화물을 원하게 되고, 섭취하지 않을 때는 이유 없는 피로감, 짜증, 우울, 신경 예민과 무기력증이 생기게 된다.","자극에 익숙해지면 계속하여 단맛을 원하게 되고, 그렇지 않을 경우 피로감, 짜증, 우울, 신경 예민과 무기력증이 나타날 수 있습니다."
4336,4417,"비만과 대사증후군으로 가는 지름길탄수화물 과잉 섭취가 문제가 되는 것은 혈당을 급격하게 올려 고혈압, 당뇨와 같은 성인병의 원인이 되기 때문이다.","과다한 탄수화물 섭취는 고혈압 및 당뇨와 같은 성인병의 원인이 될 수 있는데, 이는 비만과 대사증후군으로 이어질 수 있는 문제로 알려져 있습니다."
4337,4418,에너지원으로 쓰고 남은 포도당은 지방으로 전환돼 비만을 유발한다.,남은 포도당이 지방으로 전환되어 비만을 유발하는 것 같아요.
4338,4419,"간이나 근육 등에 쌓인 내장지방은 대사증후군은 물론 협심증, 뇌졸증과 같은 심혈관 질환 발병 확률을 높인다.","""Accumulated visceral fat in areas like the abdomen or muscles can increase the risk of developing metabolic syndrome, as well as cardiovascular conditions such as angina and stroke."""
4339,4420,"또한 체내 염증 작용을 촉진시켜 각종 만성질환과 암을 유발하고, 심지어 암의 성장 속도를 가속화시키는 원인이 되기도 한다.","이 와인은 체내 염증을 촉진하여 다양한 만성질환과 암을 유발하고, 심지어 암의 성장 속도도 빠르게 만드는 원인이 될 수 있습니다."
4340,4421,"하루 에너지 필요량이 2,000kcal인 성인의 경우, 탄수화물 권장량은 총 열량의 55~65%가 알맞다.","하루 에너지 필요량이 2,000kcal인 성인은 탄수화물을 총 열량의 55~65% 섭취하는 것이 좋습니다."
4341,4422,"만약 하루 세끼 식사로 밥을 먹는다면 밥 3공기와 찐 감자 1개 혹은 밥 1공기, 국수 1그릇, 식빵 2장 정도가 하루 적정 탄수화물 권장량이다.","하루에는 3공기 밥과 찐 감자 1개 혹은 밥 1공기, 국수 1그릇, 식빵 2장 정도를 먹는 것이 적절한 탄수화물 섭취량입니다."
4342,4423,"특히 50세 이상은 고혈압, 대사증후군 예방을 위해서라도 탄수화물보단 단백질, 채소 비율을 높인 식사가 권장된다.",고혈압과 대사증후군 예방을 위해 50세 이상의 분들께는 탄수화물 대신 단백질과 채소를 더 많이 섭취하는 식단을 권장합니다.
4343,4424,생활 속 실천만이 답!,이 글을 따르면 고객들이 쉽게 따를 수 있는 방법을 실천할 수 있어요!
4344,4425,"탄수화물 중독에서 벗어나기▷ 채소, 단백질, 탄수화물을 2:1:1 비율로 섭취하기 채소는 골고루 다양하게 섭취하되, 그 절반만큼 단백질과 탄수화물을 먹는다.▷","고객님께서는 탄수화물 중독에서 벗어나기 위해 채소, 단백질, 탄수화물을 2:1:1 비율로 섭취하시면 좋습니다. 채소는 다양하게 골고루 섭취하되, 그 양의 절반만큼 단백질과 탄수화물을 함께 섭취하시면 됩니다."
4345,4426,"현미, 잡곡 등 최대한 도정 과정을 줄인 통곡물 섭취하기 흰쌀밥 대신 잡곡밥을, 빵을 먹을 땐 통밀 빵을 먹는 게 좋다.▷","통곡물을 섭취할 때는 잡곡밥이 좋고, 빵을 먹을 때는 통밀 빵을 선호할 수 있다."
4346,4427,"달걀흰자, 살코기, 생선, 콩, 두부와 같은 인슐린 분비를 억제하는 단백질 섭취하기▷ 입이 심심할 땐 과자 대신 견과류 섭취하기 호두, 아몬드와 같은 견과류는 포만감을 준다.","단백질 섭취를 억제하는 달걀흰자, 살코기, 생선, 콩, 두부와 같은 음식 대신 과자 대신 호두, 아몬드와 같은 견과류를 먹으면 포만감을 얻을 수 있습니다."
4347,4428,"견과류 1일 섭취량은 25g으로, 호두는 5~7알, 땅콩 23알, 아몬드 20~25알을 하루에 여러 번에 걸쳐 나눠 먹는다.▷","하루에 여러 번에 걸쳐 호두는 5~7알, 땅콩은 23알, 아몬드는 20~25알을 먹을 수 있도록, 1일 총 견과류 섭취량은 25g입니다."
4348,4429,"되도록이면 빵보다는 면을, 면보다는 밥을 먹기▷ 바나나, 토마토 등 섬유질이 풍부하되 수분이 많고 당분 함량이 높지 않은 과일 먹기식사 후 과일은 2~3시간 뒤에, 되도록이면 식전에 섭취하는 것이 좋다.▷","밥보다는 면을, 면보다는 밥을 먹는 것이 좋습니다. 또한 섬유질이 풍부하고 당분 함량이 낮은 과일을 식사 후 2~3시간 뒤에 먹는 것이 가장 좋습니다. 또한 과일은 식사 전에 섭취하는 것이 좋습니다."
4349,4430,"식이섬유가 풍부한 채소로 포만감 유지하기우엉, 연근, 당근, 브로콜리, 양파, 양배추 등 섬유질이 풍부한 채소를 자주 식탁에 올리자.▷","식사할 때, 우엉, 연근, 당근, 브로콜리, 양파, 양배추와 같은 식이섬유가 풍부한 채소를 자주 먹는 것이 좋아요."
4350,4431,튀기지 말고 데치거나 생으로 조리해 먹기가급적 조리 시간은 줄이되 식재료는 잘게 다지지 말고 오래 씹을 수 있도록 입자 크기가 큰 편이 소화가 천천히 되어 혈당 지수를 낮추는 데 도움이 된다.▷,조리 시간을 줄이고 식재료를 크게 자르지 않아 천천히 소화되어 혈당 지수를 낮출 수 있도록 데치거나 생으로 조리해서 먹는 것이 좋습니다.
4351,4433,"술은 고도로 정제된 탄수화물이므로 절주 혹은 금주하기▷ 하루 한번, 빠르게 걷는 유산소운동 하기천천히 걷기와 10분간 빠르게 걷기를 번갈아 가며 반복할 때 운동 효과는 배가된다.","""술을 적게 마시거나 전혀 마시지 않는 것이 좋으며, 하루에 한 번 빠르게 걷는 유산소운동을 하는 것이 효과적입니다. 천천히 걷기와 10분간 빠르게 걷기를 번갈아 가며 반복하면 운동 효과가 더욱 증가합니다."""
4352,4434,"빠른 걸음이란, 노래를 부르기 어려울 정도로 심장이 두근거리고 숨이 찰 정도다.","""빠른 걸음은 심장이 두근거리고 숨이 찰 정도로 노래를 부르기 어렵게 만듭니다."""
4353,4435,"매일 빠른 걸음으로 1시간 남짓 5~7km를 걸으면, 평균 4년이 젊어지는 효과도 얻을 수 있다",빠른 걸음으로 매일 1시간 남짓 5~7km를 걷는 것은 평균적으로 4년 연령을 젊어지게 하는 효과가 있습니다.
4354,4436,"추석 명절이 코앞으로 다가온 지금, 설렘보단 긴장과 부담감으로 괴로운 이들이 많다.","추석 명절이 다가왔지만, 저희는 고객님들이 더욱 편안하고 기분 좋게 보낼 수 있도록 최선을 다하고 있습니다."
4355,4437,가족과 친인척이 한자리에 모이면서 겪는 고강도의 감정 노동과 가사 노동으로 성인 남녀 약 66%가 겪는다는 명절 후유증.,명절 후에 가족과 친인척이 한자리에 모이면서 겪는 강한 감정과 수고로움으로 약 66%의 성인들이 명절 후유증을 경험하게 됩니다.
4356,4438,육체는 물론 정신적으로 쌓인 스트레스와 피로감을 빨리 회복하지 않으면 자칫 큰 병으로 키울 수 있기에 명절 케어를 시작해보자.,자칫 큰 병으로 발전할 수 있는 육체와 정신의 스트레스와 피로를 신속히 회복하기 위해 명절 케어를 시작해보세요
4357,4439,"애프터 명절 케어선택이 아닌 필수때마다 돌아오는 명절이면 끝없는 음식 준비와 허리가 휘는 부모님 용돈 및 명절 비용, 어른들 잔소리, 교통 체증 등으로 인한 명절 후유증을 겪는 이들이 많다.","매번 돌아오는 명절은 음식 준비와 부모님의 용돈, 명절 비용, 잔소리, 교통 체증 등으로 인해 명절 후유증을 겪는 많은 사람들이 있습니다. 이를 애프터 명절 케어의 필수로 선택해보세요."
4358,4440,특히 이번 추석 연휴는 대체공휴일제로 하루가 더 늘어 명절증후군으로 고통받는 이들 또한 늘어날 것이다.,"This year's Chuseok holiday, with an extended day due to the revised public holiday system, may see an increase in people suffering from holiday fatigue."
4359,4441,코로나19로 인한 언택트 시대의 집콕 명절도 명절 스트레스를 피할 수 없다.,코로나19로 인한 언택트 시대의 집콕 명절도 명절 스트레스를 최소화하기 어렵습니다.
4360,4442,"집에서 온종일 가족들과 함께 지내면서 요리, 청소, 빨래, 육아 등의 가사일에서 벗어날 수 없기 때문.",집에서 어떤 일이 있어도 가족들과 함께 지내면서 도움이 필요한 경우에는 언제든지 제게 말씀해주세요.
4361,4443,"육체적인 피로와 통증, 정신적인 스트레스가 쌓여 우울증, 두통, 몸살, 위장 장애가 생기기 전에 적절한 애프터 명절 케어를 실천해야 한다.","명절 후 적절한 케어를 실천하여 피로와 스트레스로 인한 우울증, 두통, 몸살, 위장 장애를 예방해보세요."
4362,4444,소화불량 명절증후군 질환 중 가장 흔한 것은 소화불량이다.,가장 흔한 명절 질환이면서도 고객들이 자주 겪는 것은 소화불량이에요.
4363,4445,"스트레스가 많은 명절, 긴장된 분위기에서 하는 식사는 위 기능을 떨어뜨린다.",단단한 분위기와 많은 스트레스를 가진 명절 식사는 소화 기능을 약화시킬 수 있습니다.
4364,4446,명절 뒤에 가슴이 답답해지면서 소화불량을 호소하는 이들이 많은데 이는 신체 증상을 동반하는 일종의 우울 증상이다.,"명절 이후에 가슴이 답답하고 소화불량이 있다면, 이는 신체 증상과 함께 우울감을 느끼는 일종의 증상입니다."
4365,4447,우울감이나 분노가 지속된다면 결국 신체 증상을 동반하는 화병으로 발현될 수 있기에 주의해야 한다.,"화병을 방지하기 위해, 우울감이나 분노가 지속된다면 신체 증상을 동반할 수 있으므로 조심해야 합니다."
4366,4448,손목터널증후군 많은 양의 음식 장만과 집안일을 하면서 손목터널증후군이 발병할 수 있다.,"너무 많은 음식을 사오고 집안일을 할 때, 손목터널증후군이 생길 수 있어요."
4367,4449,손목터널은 손목 밑쪽에 뼈와 인대로 형성된 작은 통로로 9개의 힘줄과 신경이 손으로 전해지는 곳으로 이 통로가 지속적으로 압박되어 신경이 자극을 받으면 통증이 생긴다.,"손목터널은 손 아래에 작은 통로로 형성되어, 이곳을 통해 9개의 힘줄과 신경이 손으로 연결되는데, 만약 통로에 압박이 지속되면 통증이 발생할 수 있습니다."
4368,4450,"손목 주위에 통증이 발생하는 것이 일반적이지만, 바닥을 손으로 짚고 일어설 때 통증이 더욱 심하게 발생한다.","손목 주변에서 통증을 느끼는 것은 일반적이지만, 바닥에서 손으로 일어설 때 통증이 더 심해집니다."
4369,4451,"또한, 손가락까지 저린 느낌이 동반되는 경우도 있으며, 손가락 끝부터 저리는 증상은 낮보다 밤에 더 심해진다.","또한, 손가락까지 저린 느낌과 함께 낮보다는 밤에 더 심해지는 손가락 끝에서의 저림 증상도 있습니다."
4370,4452,예방을 위해서는 틈틈이 스트레칭을 해주어 손목에 가해지는 부담을 최소화해주는 것이 중요.,무리되지 않도록 손목에 가해지는 부담을 최소화하려면 스트레칭을 자주 해주세요.
4371,4453,"만약 손목과 손가락에 통증이 느껴진다면 손목 사용을 중단하고, 따뜻한 물에 손을 담가 10분 정도 주먹을 쥐었다 펴기를 반복하면 통증이 많이 완화된다.","손목과 손가락에 통증을 느낀다면, 손목 사용을 멈추고, 10분 동안 따뜻한 물에 손을 담그고 주먹을 쥐었다 펴기를 반복하면 통증이 크게 완화됩니다."
4372,4454,무릎관절 손상 무릎을 130도 이상 구부려 쪼그려 앉았을 때 무릎관절이 받는 하중은 몸무게의 무려 7배에 달한다.,"무릎을 130도 이상 구부려 앉을 때, 무릎관절은 몸무게의 7배의 하중을 받게 됩니다."
4373,4455,명절 동안 집안일을 하면서 어쩔 수 없이 쪼그린 자세를 할 때가 많기 때문에 무릎관절에 무리가 된다.,"집안일을 하다보면 자주 쪼그리는 자세로 인해 무릎관절에 부담이 되는데, 이를 해결할 수 있는 방법이 있습니다."
4374,4456,특히 여성은 남성보다 근육이 적은데다 폐경기의 호르몬 변화를 겪으며 뼈와 근육을 튼튼하게 만들어주는 여성호르몬이 급격히 줄어들어 각종 무릎관절 질환에 취약해진다.,"여성은 남성보다 근육이 적으며, 폐경기 동안 여성 호르몬이 줄어들어 무릎 관절 질환에 더 휘둘리기 쉬워집니다."
4375,4457,생리 불순 여성의 자궁은 피로와 스트레스에 민감하다.,자궁이 불규칙한 여성들은 피로와 스트레스에 예민합니다.
4376,4458,장시간 앉은 자세로 이동하거나 쪼그리고 앉아 명절 음식을 장만하다 보면 하체의 혈액순환이 원활하지 못하고 복부 내 압력이 높아져 생리 시 생리통이 심해질 수 있다.,"장시간 앉으면서 이동이나 쪼그리고 앉으면 명절 음식을 사러다니는 경우, 하체의 혈액순환이 원활하지 않고 복부 내 압력이 높아져 생리 시 생리통이 더 심해질 수 있습니다."
4377,4459,또한 명절 스트레스로 생리를 건너뛰거나 지나치게 자주 하는 생리 불순을 겪을 수 있다.,명절 스트레스로 인해 생리를 건너뛰거나 불규칙한 생리 주기를 경험할 수 있습니다.
4378,4460,"몸을 꽉 죄는 옷은 피하고, 아랫배를 따뜻하게 해 혈액순환을 돕는 게 좋다.","고객들에게 좋은 건, 몸에 꽉 맞는 옷을 피하고 아랫배를 따뜻하게 해서 혈액순환을 도움을 주는 것입니다."
4379,4461,"명절 애프터 극약 처방 6처방 1 햇볕을 쬐는 산책 20분햇볕을 쬐면 세로토닌 호르몬이 활발해져 우울감을 줄여주고, 수면 호르몬인 멜라토닌 분비를 촉진해 밤에 숙면을 취할 수 있다.",절기 이후 건강 약추천! 지난 명절을 보낸 후에 20분 동안 해를 받으며 산책하면 우울증이 줄어들고 잠을 잘 수 있는 멜라토닌 호르몬이 더욱 활발하게 분비됩니다. 이를 이용해 편안한 밤잠을 취하세요!
4380,4462,처방 2 따뜻한 우엉차식이섬유와 올리고당 성분이 풍부한 우엉차는 포만감을 느끼게 해 과식을 막고 명절 동안 불어난 뱃살을 빼는 데도 도움이 된다.,"우엉차는 따뜻하게 즐길 수 있는 음료입니다. 우엉차에는 섬유와 올리고당이 함유되어 있어, 과식을 막고 명절 동안 쌓인 뱃살을 줄이는 데도 도움이 됩니다."
4381,4463,"처방 3 스트레칭과 반신욕손목과 어깨, 허리 통증을 완화하기 위해 근육을 이완시키는 스트레칭을 추천한다.","고객분들의 어깨, 손목, 허리 통증을 완화시키기 위해 근육을 이완시키는 스트레칭을 추천해드립니다."
4382,4464,"스트레칭은 아침저녁으로 2회 이상, 한 동작을 10초 동안 3~5회 반복 실시하는 것이 좋다.",스트레칭을 아침과 저녁에 2회 이상 하세요. 각 동작은 10초 동안 3~5번 반복해주세요.
4383,4465,"뭉치고 뻐근한 근육통이 있다면 허리, 목 등에 핫팩을 붙이거나 반신욕이 효과적이다.※",근육통이 있을 때는 허리나 목에 핫팩을 붙이거나 반신욕을 하는 것이 효과적입니다.
4384,4466,어깨 스트레칭 팁 : 의자에 앉아 양손을 팔걸이에 올리고 팔꿈치가 펴지도록 양손에 힘을 주어 몸을 일으킨다.,몸을 일으키기 위해 양손을 팔걸이에 올려 팔꿈치를 펴는 어깨 스트레칭이 있어요.
4385,4467,처방 4 적절한 수면 시간평소 기상 시간을 지켜 일어나고 연휴 피로를 줄이기 위해 여유 있게 귀가하여 휴식을 취하자.,"휴식을 위해 연휴 동안은 출퇴근 시간에 여유를 가지고 일어나고, 적절한 수면 시간을 유지해보세요!"
4386,4468,바른 수면 자세만으로도 긴장된 근육과 관절을 풀어주고 심적 안정을 유지하는 데 도움이 된다.,바른 수면 자세는 긴장된 근육과 관절을 풀어주며 심적 안정을 유지하는 데 도움이 됩니다.
4387,4469,가급적 자연스러운 차렷 자세로 바로 자는 것이 좋은데 옆으로 자는 게 편하다면 목이나 어깨 등에 부담 없는 자세를 유지하는 것이 좋다.,"자연스러운 차렷 자세로 바로 자는 것이 가장 좋지만, 편하게 옆으로 자고 싶다면 목이나 어깨에 부담이 없도록 자세를 유지하는 것이 좋아요."
4388,4470,"처방 5 따뜻한 마음 전하기명절 스트레스로 부부싸움을 할 수 있는데 서로에게 ‘수고했다’, ‘고맙다’라는 따뜻한 인사로 가족애를 높여보자.",가족들끼리 따뜻한 마음으로 '수고했다'와 '고맙다'라는 인사를 주고받으면 부부싸움을 줄일 수 있어요. 그래서 명절 스트레스를 덜 받을 수 있어요.
4389,4471,서로를 위해 작은 선물을 마련하는 것도 좋은 방법.,작은 선물을 마련하여 서로에게 함께 나누는 것은 멋진 방법입니다.
4390,4472,처방 6 나만을 위한 시간 보내기 명절 동안 고생한 ‘나’를 위해 오롯이 자신을 위한 시간을 가져보자.,고생한 명절 동안 나를 위해 오롯이 자신을 위한 시간을 가져보세요.
4391,4473,그동안 누리지 못한 취미 활동이나 여행 등으로 스트레스를 해소하고 힐링하면 에너지가 재충전될 것이다,스트레스를 해소하고 에너지를 충전하는 방법으로는 취미 활동이나 여행과 같은 미묘한 즐거움을 경험해 보는 것이 좋습니다.
4392,4474,"입안을 푸지게 채우는 꽃게 살에 한 번,씹을수록 혀끝을 맴도는 달큼한 단맛에두 번 놀라는 가을 꽃게는그 자체로 보약이다.",가을 꽃게는 입안을 푸르게 채우고 달콤한 맛으로 혀끝을 맴돌며 보약으로 알려져 있어요.
4393,4475,"가을 꽃게는 안 먹으면 손해봄은 암게, 가을은 수게가 제철꽃게는 1년 내내 언제 먹어도 맛있지만, 살이 꽉 차는 시기에는 더욱 별미다.","가을 꽃게는 누리지 않으면 손해인 암게일 뿐만 아니라, 가을에 제철이 되는 수게는 언제든지 맛있지만, 살이 가장 풍성해지는 시기에는 특히 더욱 매력적입니다."
4394,4476,"봄에는 주홍빛 알이 꽉 찬 암 꽃게가 맛있지만, 가을이 시작되는 9월부터 11월까지는 살이 통통하게 차오른 수 꽃게 맛이 일품이다.","봄에는 주홍빛 알이 꽉 찬 암 꽃게가 맛있지만, 가을부터의 9월부터 11월은 살이 통통하게 차오른 수 꽃게가 일품입니다!"
4395,4477,참고로 암 꽃게는 10월은 돼야 알도 있고 살도 차오르기 시작한다고.,10월에 들어서면 암 꽃게가 살도 차오르기 시작하는 것을 알 수 있습니다.
4396,4478,특히 가을 꽃게는 봄에 비해 가격도 한결 저렴해 부담 없이 맛볼 수 있다.,가을 꽃게는 가을이라 가격도 저렴하고 맛볼 수 있으니 고객들이 부담 없이 즐길 수 있어요!
4397,4479,제철 꽃게가 보약보다 낫다,"""고객님께서는 제철 꽃게가 보약보다 더 좋으실 것입니다."""
4398,4480,"꽃게는 각종 무기질과 비타민이 풍부하고 지방이 적은 고단백질 식품으로, 칼륨과 칼슘 함량도 높아 성장기 아동이나 청소년, 빈혈을 주의해야 하는 임산부나 폐경기 여성의 건강에 도움을 준다.","꽃게는 고단백질 식품으로 지방이 적고, 각종 무기질과 비타민이 풍부합니다. 또한, 성장기 아동, 청소년, 임산부 및 폐경기 여성의 건강에 도움이 되는데, 칼륨과 칼슘 함량도 높습니다."
4399,4481,또 아미노산의 일종인 타우린이 함유돼 있어 피로 회복은 물론 알코올 해독 작용을 도와 숙취 해소에도 뛰어나다.,타우린은 피로 회복과 숙취 해소에 큰 도움을 주는 아미노산입니다.
4400,4482,"타우린은 인슐린 분비를 촉진해 혈당 상승을 억제하고, 혈압을 낮춰주는 역할을 하기도 한다.",타우린은 혈당 상승을 억제하고 혈압을 낮추는 데 도움을 주는 성분입니다.
4401,4483,"특히 꽃게 껍질에 풍부한 키토산은 지방을 흡착해 콜레스테롤을 낮춰 혈관건강에 이롭고, 이뇨 작용도 뛰어나 껍데기까지 함께 섭취할 수 있는 튀김 요리로 즐겨도 좋다.","특히 꽃게 껍질에는 키토산이 함유되어 있어, 지방을 흡착하여 콜레스테롤을 낮추고 혈관건강에 도움을 줍니다. 게다가 이뇨 작용도 뛰어나서, 껍데기까지 함께 섭취할 수 있는 튀김 요리로 즐기기에도 좋습니다!"
4402,4484,알아두면 쓸모 있는신선한 꽃게 고르는 법게는 잡으면 금방 죽기 때문에 신선도가 중요하다.,새로운 꽃게를 선택할 때는 신선도가 매우 중요하니까 주의해야 해요.
4403,4485,"간장게장과 같이 게를 익히지 않고 먹는 음식일 경우 신선한 꽃게를 사용해야 비린 맛이 없고, 식중독도 예방할 수 있다.","신선한 꽃게를 사용해야 간장게장과 같은 음식을 안전하게 즐길 수 있어요. 비린 맛 없이 맛있게 즐기고, 식중독 걱정도 덜어드릴게요."
4404,4486,가장 신선한 꽃게는 단연 다리를 활발하게 움직이며 살아 있는 상태일 때다.,꽃게의 신선도는 다리가 활발하게 움직이고 살아있을 때에 최고로 높아요.
4405,4487,손으로 들었을 때 묵직한 무게감이 느껴질수록 살과 알이 꽉 차 있을 확률이 높다.,무거운 느낌은 살과 알이 꽉 차 있을 가능성이 높다는 것을 나타냅니다.
4406,4488,"그리고 껍질이 무르지 않고 딱딱하고, 배딱지 부분에 검은 점이 없으며 꽃게 발끝을 눌렀을 때 탄력이 느껴지는 것도 좋은 꽃게를 고르는 팁이다.","고객에게 친화적인 한 문장으로 바꿔드리면, 좋은 꽃게를 선택할 때는 껍질이 단단하고 무르지 않으며, 배딱지에 검은 점이 없으면서 발끝을 눌렀을 때 탄력이 느껴지는 것이 중요합니다."
4407,4489,꽃게의 암수 구별은 배딱지 모양을 통해 식별할 수 있다.,꽃게의 성별을 식별하는 방법은 배딱지의 형태에 따라 가능합니다.
4408,4490,암게는 배딱지 부분이 넓고 둥그스름한 반면 수게는 좁고 뾰족한 것이 특징이다.,"암게는 넓고 둥그스름한 배딱지를 가지고 있고, 수게는 좁고 뾰족한 배딱지를 가지고 있습니다."
4409,4491,꽃게는 많이 먹어도 상관없을까?,고객님들이 꽃게를 많이 드셔도 걱정하지 않으셔도 됩니다.
4410,4492,과식해서 몸에 이로운 음식은 없다.,과식해서 몸에 이로운 음식은 없습니다.
